Field	Rating	Entries	P(Woman)
Sergeant	1.167227267247576	6	0.194537877874596
Environmental Specialist, Lead	3.999860430317634	6	0.666643405052939
Bursar	4.968787626138312	6	0.828131271023052
School of Engineering	1.015122153787154	6	0.16918702563119234
Disbursement Operations	4.001559902408268	6	0.6669266504013781
Alumni Relations	2.992299554901747	6	0.4987165924836245
Vice President for Research	3.92470113861954	6	0.65411685643659
Undeclared Major	2.9846966519268046	6	0.4974494419878008
Business Support Analyst	4.982414413497407	6	0.8304024022495679
Research Scientist, Sr.	2.3657001881543027	6	0.3942833646923838
Undeclared Science	3.004526135590067	6	0.5007543559316778
Center for Career and Professional Development	5.966121773923567	6	0.9943536289872612
